sample_id,aneuploidy_score,fga
P-0001706-T01-IM3,0.268292683,0.501856707
P-0001710-T01-IM3,0.707317073,0.752677444
P-0001731-T01-IM3,0.56097561,0.649572146
P-0001733-T01-IM3,0.585365854,0.54293328
P-0001738-T01-IM3,0.56097561,0.602247146
P-0001756-T01-IM3,0.292682927,0.436557653
P-0001771-T01-IM3,0.463414634,0.468037726
P-0001785-T02-IM3,0.609756098,0.724659464
P-0001794-T01-IM3,0.609756098,0.699448041
P-0001807-T01-IM3,0.731707317,0.770751206
P-0001808-T01-IM3,0.146341463,0.118149337
P-0001832-T01-IM3,0.682926829,0.799920746
P-0001836-T01-IM3,0.43902439,0.505942305
P-0001841-T01-IM3,0.463414634,0.608024725
P-0001843-T01-IM3,0.365853659,0.466585436
P-0001850-T01-IM3,0.390243902,0.397553252
P-0001855-T01-IM3,0.414634146,0.327993885
P-0001867-T01-IM3,0.829268293,0.938122257
P-0001871-T01-IM3,0.12195122,0.142261893
P-0001882-T01-IM3,0.707317073,0.74893752
P-0001892-T01-IM3,0.365853659,0.424049108
P-0001904-T01-IM3,0.097560976,0.107862373
P-0001955-T01-IM3,0.658536585,0.858885496
P-0001977-T01-IM3,0.341463415,0.28199603
P-0002015-T01-IM3,0.365853659,0.35287081
P-0002018-T01-IM3,0.975609756,0.991122961
P-0002019-T01-IM3,0.390243902,0.298853478
P-0002028-T01-IM3,0.43902439,0.539640958
P-0002041-T01-IM3,0.12195122,0.147472664
P-0002042-T01-IM3,0.634146341,0.682496038
P-0002049-T01-IM3,0.268292683,0.241636353
P-0002151-T01-IM3,0.317073171,0.301699674
P-0002157-T01-IM3,0.390243902,0.442776613
P-0002160-T01-IM3,0.341463415,0.375896554
P-0002165-T01-IM3,0.56097561,0.650823026
P-0002181-T01-IM3,0.43902439,0.43384919
P-0002182-T01-IM3,0.634146341,0.619914853
P-0002185-T01-IM3,0.146341463,0.164465989
P-0002193-T01-IM3,0.243902439,0.231323789
P-0002225-T01-IM3,0.634146341,0.665987491
P-0002247-T01-IM3,0.219512195,0.246648055
P-0002255-T01-IM3,0.268292683,0.338632285
P-0002265-T01-IM3,0.536585366,0.515703992
P-0002270-T01-IM3,0.707317073,0.830726702
P-0002279-T01-IM3,0.243902439,0.307030389
P-0002292-T01-IM3,0.658536585,0.710784397
P-0002295-T01-IM3,0.317073171,0.368761187
P-0002305-T01-IM3,0.414634146,0.380107317
P-0002311-T01-IM3,0.219512195,0.22033143
P-0002320-T01-IM3,0.292682927,0.332620632
P-0002332-T01-IM3,0.585365854,0.669289421
P-0002351-T01-IM3,0.268292683,0.254047618
P-0002353-T01-IM3,0.56097561,0.659053827
P-0002380-T01-IM3,0.585365854,0.582169745
P-0002386-T01-IM3,0.463414634,0.537051436
P-0002392-T01-IM3,0.512195122,0.547768673
P-0002404-T01-IM3,0.585365854,0.618762197
P-0002418-T01-IM3,0.43902439,0.41559485
P-0002422-T01-IM3,0.536585366,0.711089524
P-0002429-T01-IM3,0.463414634,0.508257344
P-0002444-T01-IM3,0.585365854,0.5460499
P-0002452-T01-IM3,0.56097561,0.651613115
P-0002456-T01-IM3,0.658536585,0.704683903
P-0002465-T01-IM3,0.243902439,0.557081893
P-0002469-T01-IM3,0.292682927,0.312433855
P-0002472-T01-IM3,0.292682927,0.521385027
P-0002483-T01-IM3,0.487804878,0.466200929
P-0002485-T01-IM3,0.146341463,0.155116429
P-0002490-T01-IM3,0.195121951,0.231495014
P-0002504-T01-IM3,0.756097561,0.829092901
P-0002507-T01-IM3,0.341463415,0.456709168
P-0002517-T01-IM3,0.146341463,0.278914608
P-0002546-T01-IM3,0.195121951,0.172683337
P-0002551-T01-IM3,0.536585366,0.595050885
P-0002559-T01-IM3,0.365853659,0.413212387
P-0002568-T01-IM3,0,0.001262835
P-0002575-T01-IM3,0.585365854,0.803166961
P-0002576-T02-IM5,0.731707317,0.798664222
P-0002603-T01-IM3,0,4.04E-05
P-0002614-T01-IM3,0.609756098,0.767805657
P-0002615-T01-IM3,0.43902439,0.47270888
P-0002620-T01-IM3,0.048780488,0.083156414
P-0002626-T01-IM3,0.317073171,0.336642167
P-0002633-T01-IM3,0.609756098,0.534419453
P-0002637-T01-IM3,0.658536585,0.636379556
P-0002639-T01-IM3,0.243902439,0.234278071
P-0002646-T01-IM3,0.414634146,0.32409626
P-0002647-T01-IM3,0.073170732,0.111003218
P-0002653-T01-IM3,0.048780488,0.023568997
P-0002668-T01-IM3,0.731707317,0.869340663
P-0002706-T01-IM3,0.243902439,0.312786072
P-0002715-T01-IM3,0.097560976,0.118728405
P-0002730-T01-IM3,0.414634146,0.386125826
P-0002731-T02-IM5,0.658536585,0.752514403
P-0002738-T01-IM3,0.463414634,0.503149748
P-0002745-T01-IM3,0.12195122,0.190932238
P-0002748-T02-IM5,0.682926829,0.754703064
P-0002751-T01-IM3,0.097560976,0.107444341
P-0002758-T01-IM3,0.487804878,0.626156354
P-0002765-T01-IM3,0.073170732,0.163602554
P-0002766-T01-IM3,0.170731707,0.175782631
P-0002787-T01-IM3,0.390243902,0.414570816
P-0002789-T01-IM3,0.341463415,0.356602054
P-0002792-T01-IM3,0.390243902,0.380543638
P-0002794-T01-IM3,0.048780488,0.052229475
P-0002806-T01-IM3,0.219512195,0.266122441
P-0002818-T01-IM3,0.43902439,0.492180154
P-0002820-T01-IM3,0.390243902,0.334687161
P-0002826-T01-IM3,0.56097561,0.630625346
P-0002836-T01-IM3,0.170731707,0.183528714
P-0002855-T01-IM3,0.365853659,0.298029729
P-0002864-T01-IM3,0.195121951,0.16105979
P-0002874-T01-IM3,0.756097561,0.819880887
P-0002890-T01-IM3,0.268292683,0.337670213
P-0002905-T01-IM3,0.463414634,0.490941258
P-0002914-T01-IM3,0.634146341,0.726063934
P-0002917-T01-IM3,0.317073171,0.403932674
P-0002921-T01-IM3,0.390243902,0.406436835
P-0002939-T01-IM3,0.024390244,0.045374586
P-0002940-T01-IM3,0.219512195,0.190325873
P-0002941-T01-IM3,0,5.50E-06
P-0002965-T01-IM3,0.219512195,0.330988673
P-0002969-T01-IM3,0.365853659,0.368048756
P-0002976-T01-IM3,0.756097561,0.88138315
P-0002981-T01-IM3,0,0.019100969
P-0002993-T01-IM3,0.658536585,0.773329148
P-0003000-T01-IM3,0.195121951,0.151064296
P-0003003-T01-IM3,0.87804878,0.947255257
P-0003009-T01-IM3,0.365853659,0.335479651
P-0003024-T01-IM3,0.048780488,0.054275842
P-0003034-T01-IM5,0.512195122,0.598162537
P-0003051-T01-IM5,0.463414634,0.601564721
P-0003059-T01-IM5,0.097560976,0.102399039
P-0003069-T01-IM5,0.487804878,0.508840479
P-0003097-T01-IM5,0.170731707,0.20717795
P-0003117-T01-IM5,0.512195122,0.460238444
P-0003119-T01-IM5,0.195121951,0.221242859
P-0003131-T01-IM5,0.487804878,0.563698111
P-0003132-T01-IM5,0.268292683,0.294066364
P-0003157-T01-IM5,0,0.001815412
P-0003197-T01-IM5,0.097560976,0.094748599
P-0003224-T01-IM5,0.243902439,0.230199232
P-0003225-T01-IM5,0.365853659,0.417818556
P-0003229-T01-IM5,0.195121951,0.139022245
P-0003241-T01-IM5,0.463414634,0.590260323
P-0003255-T01-IM5,0.634146341,0.688260164
P-0003265-T01-IM5,0.292682927,0.353543897
P-0003272-T01-IM5,0.097560976,0.10914238
P-0003273-T01-IM5,0.292682927,0.342028622
P-0003275-T01-IM5,0,0.009501139
P-0003278-T01-IM5,0.609756098,0.737156506
P-0003283-T01-IM5,0.365853659,0.424425065
P-0003285-T01-IM5,0.219512195,0.274054701
P-0003319-T01-IM5,0.073170732,0.090973066
P-0003322-T01-IM5,0.097560976,0.103492556
P-0003347-T01-IM5,0.731707317,0.91597206
P-0003350-T01-IM5,0.341463415,0.276400873
P-0003359-T01-IM5,0.414634146,0.506910113
P-0003360-T01-IM5,0.829268293,0.903653538
P-0003365-T01-IM5,0.146341463,0.067232294
P-0003368-T01-IM5,0.12195122,0.137102539
P-0003372-T01-IM5,0.390243902,0.385068695
