sample	aneuploidy_score
GENIE-GRCC-4da07383-metastasis-a	0.425
GENIE-GRCC-4daf6600-metastasis-a	0.5
GENIE-GRCC-4ddfa921-metastasis-a	0.3
GENIE-GRCC-4e4313d8-metastasis-a	0.5
GENIE-GRCC-4f168dad-metastasis-a	0.05
GENIE-GRCC-4f21e355-metastasis-a	0.256410256410256
GENIE-GRCC-4f31849a-metastasis-a	0.179487179487179
GENIE-GRCC-4fa53943-metastasis-a	0.65
GENIE-GRCC-51c83c6e-metastasis-a	0.575
GENIE-GRCC-55f37f43-metastasis-a	0.325
GENIE-GRCC-5725b36e-metastasis-a	0.375
GENIE-GRCC-576d19db-metastasis-a	0.525
GENIE-GRCC-585ae3b0-metastasis-a	0.425
GENIE-GRCC-596e5ce8-metastasis-a	0.3
GENIE-GRCC-59f24de5-metastasis-a	0
GENIE-GRCC-5a190ec8-metastasis-a	0.125
GENIE-GRCC-5b22465e-metastasis-a	0.175
GENIE-GRCC-5b53a6bb-metastasis-a	0.425
GENIE-GRCC-5bfb3525-metastasis-a	0.025
GENIE-GRCC-5c4441ef-metastasis-a	0.45
GENIE-GRCC-5c45fcdf-metastasis-a	0.425
GENIE-GRCC-5d1e1500-metastasis-a	0.475
GENIE-GRCC-5dae2a7f-metastasis-a	0.225
GENIE-GRCC-5dd4323f-metastasis-a	0.1
GENIE-GRCC-5fded3c0-metastasis-a	0.6
GENIE-GRCC-6180ffb9-metastasis-a	0.512820512820513
GENIE-GRCC-62ca9b82-metastasis-a	0.2
GENIE-GRCC-63a460b9-metastasis-a	0.2
GENIE-GRCC-64a12a24-metastasis-a	0.425
GENIE-GRCC-6676b965-metastasis-a	0.3
GENIE-GRCC-66afda3c-metastasis-a	0.1
GENIE-GRCC-6a1d8c8e-metastasis-a	0.35
GENIE-GRCC-6a405498-metastasis-a	0.45
GENIE-GRCC-6a4445ff-metastasis-a	0.6
GENIE-GRCC-6a9f38f3-metastasis-a	0.487179487179487
GENIE-GRCC-6c32ae69-metastasis-a	0.3
GENIE-GRCC-6cc785ed-metastasis-a	0.075
GENIE-GRCC-6ce41c9b-metastasis-a	0.075
GENIE-GRCC-6d102848-metastasis-a	0.2
GENIE-GRCC-6f403b83-metastasis-a	0
GENIE-GRCC-6f7359d5-metastasis-a	0.025
GENIE-GRCC-6fbc6baa-metastasis-a	0.375
GENIE-GRCC-6fc4032a-metastasis-a	0.375
GENIE-GRCC-6fcfa86f-metastasis-a	0.256410256410256
GENIE-GRCC-7049fc04-metastasis-a	0.175
GENIE-GRCC-7171aad9-metastasis-a	0.05
GENIE-GRCC-71d7b542-metastasis-a	0.375
GENIE-GRCC-7218a51b-metastasis-a	0.6
GENIE-GRCC-7247d8e4-metastasis-a	0.6
GENIE-GRCC-73bdc66d-metastasis-a	0.230769230769231
GENIE-GRCC-73c3273a-metastasis-a	0.175
GENIE-GRCC-7415d467-metastasis-a	0.15
GENIE-GRCC-75c75a2b-metastasis-a	0.15
GENIE-GRCC-75da2168-metastasis-a	0.1
GENIE-GRCC-75fd2b38-metastasis-a	0.3
GENIE-GRCC-771b89bd-metastasis-a	0
GENIE-GRCC-7754ded6-metastasis-a	0.05
GENIE-GRCC-77e4af7b-metastasis-a	0.2
GENIE-GRCC-77f4157f-metastasis-a	0.5
GENIE-GRCC-784c04b9-metastasis-a	0.625
GENIE-GRCC-7a704209-metastasis-a	0.025
GENIE-GRCC-7dd683d8-metastasis-a	0.175
GENIE-GRCC-7e14343d-metastasis-a	0.564102564102564
GENIE-GRCC-7ef7fdf3-metastasis-a	0
GENIE-GRCC-7fac1c80-metastasis-a	0.175
GENIE-GRCC-804c1575-metastasis-a	0.5
GENIE-GRCC-814c3d92-metastasis-a	0.461538461538462
GENIE-GRCC-830fceb2-metastasis-a	0.25
GENIE-GRCC-84a304ff-metastasis-a	0.15
GENIE-GRCC-84b7f427-metastasis-a	0.125
GENIE-GRCC-8556dcee-metastasis-a	0.575
GENIE-GRCC-85e7a4fc-metastasis-a	0.41025641025641
GENIE-GRCC-860e4812-metastasis-a	0.307692307692308
GENIE-GRCC-8663de6f-metastasis-a	0.45
GENIE-GRCC-8697cb49-metastasis-a	0.35
GENIE-GRCC-8771dbc2-metastasis-a	0.325
GENIE-GRCC-8848b6bc-metastasis-a	0.45
GENIE-GRCC-897bad08-metastasis-a	0.25
GENIE-GRCC-89aae79e-metastasis-a	0.175
GENIE-GRCC-89ad042b-metastasis-a	0.175
GENIE-GRCC-8a2956b8-metastasis-a	0.225
GENIE-GRCC-8c6efbf8-metastasis-a	0.25
GENIE-GRCC-8cfadf6f-metastasis-a	0.45
GENIE-GRCC-8d93d48a-metastasis-a	0
GENIE-GRCC-9137bb99-metastasis-a	0.475
GENIE-GRCC-95fdaa7a-metastasis-a	0.1
GENIE-GRCC-960b0f01-metastasis-a	0.125
GENIE-GRCC-96e64bef-metastasis-a	0.15
GENIE-GRCC-9a67bc62-metastasis-a	0.15
GENIE-GRCC-9b81d221-metastasis-a	0.475
GENIE-GRCC-9c12b246-metastasis-a	0.15
GENIE-GRCC-9c132370-metastasis-a	0.3
GENIE-GRCC-9c734ef8-metastasis-a	0.35
GENIE-GRCC-9c74f461-metastasis-a	0.55
GENIE-GRCC-9dde44a9-metastasis-a	0.125
GENIE-GRCC-9df98e1e-metastasis-a	0.375
GENIE-GRCC-9f12e1bb-metastasis-a	0.625
GENIE-MSK-P-0000004-T01-IM3	0.48780487804878
GENIE-MSK-P-0000012-T02-IM3	0.463414634146341
GENIE-MSK-P-0000012-T03-IM3	0.609756097560976
GENIE-MSK-P-0000012-T04-IM6	0.0975609756097561
GENIE-MSK-P-0000015-T01-IM3	0.634146341463415
GENIE-MSK-P-0000023-T01-IM3	0.317073170731707
GENIE-MSK-P-0000024-T01-IM3	0.902439024390244
GENIE-MSK-P-0000025-T01-IM3	0
GENIE-MSK-P-0000025-T02-IM5	0.219512195121951
GENIE-MSK-P-0000025-T03-IM6	0.658536585365854
GENIE-MSK-P-0000026-T01-IM3	0.341463414634146
GENIE-MSK-P-0000027-T01-IM3	0.0975609756097561
GENIE-MSK-P-0000030-T01-IM3	0.780487804878049
GENIE-MSK-P-0000034-T01-IM3	0.317073170731707
GENIE-MSK-P-0000036-T01-IM3	0.0487804878048781
GENIE-MSK-P-0000037-T01-IM3	0.317073170731707
GENIE-MSK-P-0000037-T02-IM3	0.463414634146341
GENIE-MSK-P-0000039-T01-IM3	0.317073170731707
GENIE-MSK-P-0000041-T01-IM3	0.439024390243902
